id,listing_url,host_id,host_name,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,beds,price,has_availability,review_scores_rating,instant_bookable
712433263773528047,https://www.airbnb.com/rooms/712433263773528047,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87366,-159.44684,Entire home/apt,Entire home/apt,4,1 bath,2,$262.00,t,5,t
28691533,https://www.airbnb.com/rooms/28691533,31859615,Gary,t,Koloa-Poipu,Kauai,21.87375162,-159.4485648,Entire villa,Entire home/apt,6,3 baths,4,$599.00,t,4.46,t
41637254,https://www.airbnb.com/rooms/41637254,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87374,-159.44901,Entire home,Entire home/apt,6,2 baths,3,$735.00,t,4.75,t
40942142,https://www.airbnb.com/rooms/40942142,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87358,-159.44761,Entire condo,Entire home/apt,4,2 baths,2,$414.00,t,4,t
53219327,https://www.airbnb.com/rooms/53219327,13640337,Destination Kauai,t,Koloa-Poipu,Kauai,21.8724,-159.45035,Entire condo,Entire home/apt,5,2.5 baths,4,$670.00,t,4,t
48677829,https://www.airbnb.com/rooms/48677829,285402550,Dominika & Tim,f,Koloa-Poipu,Kauai,21.87539,-159.44679,Entire condo,Entire home/apt,6,2.5 baths,4,$436.00,t,4.96,t
41527811,https://www.airbnb.com/rooms/41527811,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87371,-159.44396,Entire condo,Entire home/apt,4,2 baths,2,$341.00,t,4.64,t
35667171,https://www.airbnb.com/rooms/35667171,145038404,Trevor,t,Koloa-Poipu,Kauai,21.88283,-159.47501,Entire condo,Entire home/apt,2,1.5 baths,1,$179.00,t,4.81,f
52280374,https://www.airbnb.com/rooms/52280374,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87085,-159.4468,Entire home/apt,Entire home/apt,4,2 baths,2,$399.00,t,4.67,t
52609122,https://www.airbnb.com/rooms/52609122,70564610,Bill,t,Koloa-Poipu,Kauai,21.88139,-159.4734,Entire condo,Entire home/apt,6,2 baths,3,$507.00,t,4.88,t
50639554,https://www.airbnb.com/rooms/50639554,97006413,Suite Paradise,t,Koloa-Poipu,Kauai,21.88486,-159.45888,Entire condo,Entire home/apt,4,2 baths,2,$270.00,t,5,t
32048569,https://www.airbnb.com/rooms/32048569,154896788,Douglas,t,Koloa-Poipu,Kauai,21.86951,-159.44536,Entire condo,Entire home/apt,4,2 baths,3,$556.00,t,4.88,t
4447107,https://www.airbnb.com/rooms/4447107,23079066,Peter,t,Koloa-Poipu,Kauai,21.8775,-159.45984,Entire condo,Entire home/apt,4,1 bath,2,$280.00,t,4.75,f
678495524631734872,https://www.airbnb.com/rooms/678495524631734872,24170758,Sabina,t,Koloa-Poipu,Kauai,21.87604,-159.46007,Entire condo,Entire home/apt,4,1 bath,1,$280.00,t,5,t
48213718,https://www.airbnb.com/rooms/48213718,152523079,Kristen,t,Koloa-Poipu,Kauai,21.88382,-159.45969,Entire condo,Entire home/apt,8,3.5 baths,5,$535.00,t,4.78,t
35667247,https://www.airbnb.com/rooms/35667247,145038404,Trevor,t,Koloa-Poipu,Kauai,21.87312,-159.4493,Entire condo,Entire home/apt,6,2 baths,4,$259.00,t,4.67,f
42158687,https://www.airbnb.com/rooms/42158687,35873058,Gordon,t,Koloa-Poipu,Kauai,21.87231,-159.4432,Entire condo,Entire home/apt,6,2 baths,3,$349.00,t,4.9,f
41748555,https://www.airbnb.com/rooms/41748555,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87532,-159.44366,Entire home,Entire home/apt,4,2 baths,2,$446.00,t,5,t
41023309,https://www.airbnb.com/rooms/41023309,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.87369,-159.4476,Entire condo,Entire home/apt,6,2 baths,3,$420.00,t,4.83,t
37213932,https://www.airbnb.com/rooms/37213932,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88284,-159.46865,Entire rental unit,Entire home/apt,2,1 bath,1,$236.00,t,4.62,t
41912759,https://www.airbnb.com/rooms/41912759,101401250,Parrish Kauai,t,Koloa-Poipu,Kauai,21.88315,-159.46731,Entire condo,Entire home/apt,4,2 baths,2,$236.00,t,4.56,t
35667361,https://www.airbnb.com/rooms/35667361,145038404,Trevor,t,Koloa-Poipu,Kauai,21.88269,-159.46833,Entire condo,Entire home/apt,4,2 baths,3,$189.00,t,4.52,f
